0,-0.0028905,0.10524
0.01,0.0028435,0.10913
0.02,0.0088125,0.11412
0.03,0.015181,0.11978
0.04,0.022043,0.1243
0.05,0.02954,0.12903
0.06,0.037435,0.13401
0.07,0.045543,0.13775
0.08,0.054144,0.14206
0.09,0.063003,0.14617
0.1,0.07238,0.14949
0.11,0.082156,0.15318
0.12,0.092355,0.15572
0.13,0.10269,0.16097
0.14,0.11341,0.16346
0.15,0.1246,0.1659
0.16,0.13614,0.16845
0.17,0.14765,0.17125
0.18,0.15954,0.17447
0.19,0.17176,0.17499
0.2,0.18445,0.17785
0.21,0.19733,0.17962
0.22,0.2103,0.18071
0.23,0.22379,0.18112
0.24,0.23768,0.18305
0.25,0.2515,0.18429
0.26,0.26576,0.18512
0.27,0.28028,0.18549
0.28,0.29525,0.18627
0.29,0.31011,0.18684
0.3,0.32524,0.18653
0.31,0.34089,0.18554
0.32,0.35664,0.18575
0.33,0.37236,0.1858
0.34,0.38845,0.18408
0.35,0.405,0.18289
0.36,0.42117,0.18175
0.37,0.43736,0.18019
0.38,0.45407,0.17837
0.39,0.47066,0.17723
0.4,0.48697,0.17525
0.41,0.50335,0.17297
0.42,0.51984,0.17032
0.43,0.53594,0.16845
0.44,0.5519,0.16476
0.45,0.56771,0.16201
0.46,0.58318,0.159
0.47,0.59852,0.15479
0.48,0.61314,0.15261
0.49,0.62783,0.14991
0.5,0.64202,0.14596
0.51,0.65541,0.1417
0.52,0.6685,0.13718
0.53,0.68141,0.13422
0.54,0.69313,0.13105
0.55,0.70415,0.12659
0.56,0.71452,0.12186
0.57,0.72406,0.11879
0.58,0.73245,0.11433
0.59,0.73987,0.11069
0.6,0.74674,0.10487
0.61,0.75285,0.1016
0.62,0.75759,0.096823
0.63,0.76145,0.092876
0.64,0.76453,0.088824
0.65,0.76648,0.084565
0.66,0.76746,0.078904
0.67,0.76789,0.075475
0.68,0.76742,0.070489
0.69,0.76711,0.065607
0.7,0.76704,0.060984
0.71,0.76704,0.056101
0.72,0.76704,0.050544
0.73,0.76704,0.046337
0.74,0.76704,0.042077
0.7498,0.76704,0.042077
0.75,0.76704,0.036727
0.76,0.76702,0.031637
0.77,0.76695,0.027586
0.78,0.76683,0.021717
0.79,0.76655,0.017717
0.8,0.76643,0.012263
0.81,0.76633,0.0075886
0.82,0.76624,0.0022387
0.83,0.76615,-0.002436
0.84,0.76603,-0.0071107
0.85,0.76561,-0.010643
0.86,0.76525,-0.015889
0.87,0.76485,-0.019057
0.88,0.76434,-0.024459
0.89,0.76403,-0.029186
0.9,0.76359,-0.034639
0.91,0.76337,-0.039522
0.92,0.76321,-0.045079
0.93,0.76272,-0.047469
0.94,0.76236,-0.051416
0.95,0.76156,-0.056351
0.96,0.76067,-0.060506
0.97,0.75968,-0.065077
0.98,0.75849,-0.069699
0.99,0.75693,-0.074374
1,0.75595,-0.07588
1.01,0.75496,-0.080711
1.02,0.75383,-0.085074
1.03,0.75278,-0.088762
1.04,0.75148,-0.092813
1.05,0.75017,-0.094995
1.06,0.74904,-0.099046
1.07,0.74768,-0.10336
1.08,0.74638,-0.10606
1.09,0.74483,-0.1086
1.1,0.74326,-0.1125
1.11,0.74131,-0.11515
1.12,0.7391,-0.11832
1.13,0.73684,-0.12076
1.14,0.73419,-0.12398
1.15,0.73141,-0.12585
1.16,0.72843,-0.12938
1.17,0.725,-0.13089
1.18,0.72129,-0.13239
1.19,0.71736,-0.13457
1.2,0.7133,-0.13717
1.21,0.70874,-0.13837
1.22,0.70378,-0.13992
1.23,0.69861,-0.14159
1.24,0.6932,-0.14278
1.25,0.68759,-0.14434
1.26,0.68183,-0.14559
1.27,0.67593,-0.14673
1.28,0.66966,-0.14652
1.29,0.66329,-0.14792
1.3,0.65671,-0.14808
1.31,0.64985,-0.14855
1.32,0.64308,-0.14938
1.33,0.63638,-0.14912
1.34,0.62933,-0.14943
1.35,0.62237,-0.14875
1.36,0.6153,-0.14746
1.37,0.6083,-0.14792
1.38,0.60139,-0.14709
1.39,0.59446,-0.14657
1.4,0.5879,-0.14574
1.41,0.58127,-0.14418
1.42,0.57495,-0.14325
1.43,0.56879,-0.14221
1.44,0.56264,-0.14138
1.45,0.55679,-0.13909
1.46,0.55126,-0.138
1.47,0.54612,-0.13686
1.48,0.54099,-0.13437
1.49,0.53627,-0.13224
1.5,0.53202,-0.13141
1.51,0.52774,-0.1287
1.52,0.52407,-0.12637
1.53,0.52088,-0.12398
1.54,0.51808,-0.12159
1.55,0.51573,-0.1178
1.56,0.51369,-0.11582
1.57,0.5123,-0.11302
1.58,0.51134,-0.11001
1.59,0.51068,-0.10756
1.6,0.51063,-0.10398
1.61,0.5108,-0.10081
1.62,0.51094,-0.098215
1.63,0.51094,-0.095722
1.64,0.51094,-0.091774
1.65,0.51101,-0.088087
1.66,0.51101,-0.084451
1.67,0.51101,-0.080971
1.68,0.51101,-0.078374
1.69,0.5111,-0.074011
1.7,0.5112,-0.070686
1.71,0.51127,-0.066531
1.72,0.51131,-0.062843
1.73,0.51136,-0.059519
1.74,0.51138,-0.054689
1.75,0.51138,-0.054689
1.75,0.51141,-0.051157
1.75,0.51141,-0.051157
1.76,0.51141,-0.047001
1.77,0.51145,-0.042742
1.78,0.51152,-0.038119
1.79,0.51162,-0.034639
1.8,0.51174,-0.030848
1.81,0.51188,-0.026692
1.82,0.51209,-0.021914
1.83,0.51223,-0.018434
1.84,0.51235,-0.013915
1.85,0.51249,-0.0095519
1.86,0.51275,-0.0046694
1.87,0.51322,-0.00092968
1.88,0.5135,0.0047319
